a0,a1,a2,a3,a4,a5
55,156,117,132,119,106
54,156,109,133,119,111
55,157,105,133,123,117
54,156,101,133,124,116
55,155,104,133,126,115
55,154,107,132,123,111
54,155,108,134,119,107
55,155,108,134,119,106
54,155,108,134,120,107
55,155,108,135,120,106
55,155,108,134,118,105
55,155,106,134,118,106
54,155,105,135,122,113
55,155,107,136,125,115
54,155,99,136,115,101
55,155,99,135,116,105
54,155,99,134,117,108
55,155,98,133,117,109
55,155,99,132,120,112
55,155,100,132,124,116
55,155,104,133,126,115
55,154,107,132,123,111
54,155,108,134,119,107
55,155,108,134,119,106
54,155,108,134,120,107
55,155,108,135,120,106
55,155,108,134,118,105
55,155,106,134,118,106
54,155,105,135,122,113
55,155,107,136,125,115
54,155,103,137,118,106
55,155,99,135,116,105
54,155,99,134,117,108
55,155,98,133,117,109
55,155,99,132,120,112
55,155,100,132,124,116
55,155,104,133,126,115
55,154,107,132,123,111
54,155,108,134,119,107
55,155,108,134,119,106
54,155,108,134,120,107
55,155,108,135,120,106
55,155,108,134,118,105
55,155,106,134,118,106
54,155,105,135,122,113
55,155,107,136,125,115
54,155,103,137,118,106
55,155,99,136,116,105
55,155,99,135,117,105
55,155,98,134,116,105
55,155,98,133,117,110
54,155,100,133,121,115
55,155,102,132,126,117
55,155,105,133,124,115
55,155,107,133,121,108
54,155,107,134,118,105
55,155,108,134,119,106
55,154,109,134,120,107
55,155,109,135,120,105
54,155,107,137,108,104
55,155,105,149,97,109
55,154,106,167,112,118
55,155,105,179,122,111
55,155,101,180,123,104
55,154,100,170,126,105
55,154,98,154,125,104
55,155,97,138,123,106
55,154,99,124,123,111
55,155,101,118,126,117
55,155,104,118,128,118
55,155,106,122,125,113
54,155,108,128,120,107
55,154,108,134,119,105
55,155,109,137,121,106
54,155,109,138,121,106
54,154,108,137,119,104
55,155,106,135,118,106
54,154,105,133,122,112
55,155,108,133,127,116
54,154,103,133,120,106
55,155,99,133,115,104
54,154,99,133,116,106
55,154,99,133,117,106
55,155,98,132,118,108
54,154,99,132,121,113
54,154,101,132,126,117
55,154,104,131,126,115
55,154,107,131,122,110
54,154,107,131,119,105
55,154,108,131,119,105
54,154,109,132,120,107
55,154,109,132,120,106
54,154,107,133,118,105
54,154,105,133,119,108
55,155,105,134,125,116
55,155,107,137,124,111
54,155,101,137,116,103
55,154,99,136,116,104
55,154,99,135,116,106
55,154,98,133,117,108
55,154,99,132,119,111
54,154,100,131,123,116
55,154,103,131,127,117
54,155,107,132,125,113
55,154,107,132,120,107
55,154,107,133,118,106
55,154,108,133,119,107
55,154,109,133,120,107
54,154,109,134,119,104
55,154,107,134,119,105
55,154,105,134,122,111
55,155,106,135,127,117
54,154,104,136,120,107
55,154,100,136,115,103
54,153,100,135,116,105
55,152,99,135,116,105
55,151,97,134,117,107
54,151,98,133,120,113
55,152,101,132,125,118
55,152,105,133,126,117
54,152,108,132,122,111
54,152,108,132,118,106
55,152,108,132,119,106
54,152,108,133,120,107
54,152,109,133,120,106
54,152,108,133,117,105
54,152,106,133,119,106
54,152,105,133,124,113
54,152,107,136,126,113
55,152,102,136,117,105
54,152,99,136,115,106
55,152,99,135,115,104
55,152,98,133,116,103
55,152,98,132,118,107
55,152,99,131,123,114
55,152,102,131,126,117
54,152,106,131,126,114
55,151,108,132,121,111
54,152,107,132,119,108
55,152,109,132,120,109
55,152,109,133,120,108
55,152,108,134,119,106
55,152,107,134,118,104
55,152,105,134,120,107
55,152,107,135,127,115
54,152,105,137,122,109
54,152,100,137,115,103
54,152,99,136,116,105
54,152,99,135,116,105
55,152,98,133,116,107
55,152,99,132,119,113
55,152,101,131,125,117
54,152,104,132,127,116
55,152,106,131,123,112
54,152,107,132,119,107
55,152,108,133,119,108
55,152,109,134,120,107
54,152,109,134,120,106
54,152,108,134,118,103
55,152,106,134,118,104
54,152,104,134,122,112
54,152,108,136,127,114
