a0,a1,a2,a3,a4,a5
55,158,106,140,100,110
55,158,106,140,99,110
55,158,105,140,99,109
55,158,104,139,95,110
55,158,100,136,90,110
55,158,97,133,88,111
55,158,99,130,90,111
55,158,100,128,93,111
55,158,101,127,96,110
55,158,104,126,98,110
55,158,105,127,102,110
55,158,108,129,106,109
55,158,109,131,108,109
55,157,108,134,104,109
55,158,107,136,102,109
55,158,107,138,101,109
55,158,107,139,100,109
55,158,106,139,99,109
55,158,105,140,99,109
55,158,104,140,98,110
55,158,102,139,94,110
55,158,100,137,89,110
55,158,98,134,88,110
55,158,99,131,91,110
55,158,100,129,94,110
55,158,101,127,97,110
55,158,104,126,100,110
55,158,106,127,105,110
55,158,109,129,107,110
56,158,110,133,106,109
56,158,108,136,102,108
55,158,107,138,101,109
55,158,106,140,101,109
55,158,105,140,100,109
55,158,106,140,99,110
55,158,105,139,99,109
55,158,104,138,96,110
55,158,101,137,92,110
55,158,99,135,88,111
55,158,98,132,89,111
55,158,99,129,92,111
55,158,101,127,95,110
55,158,103,126,98,109
55,158,104,126,102,109
55,158,108,127,107,109
55,158,110,130,108,110
55,158,109,133,104,109
55,158,107,136,101,109
55,158,107,138,101,109
55,158,107,140,100,109
55,158,105,140,99,109
55,158,105,140,99,109
55,158,105,139,98,109
56,158,103,138,94,109
55,158,100,137,90,110
55,158,97,134,88,110
55,158,98,131,91,111
55,158,100,129,94,110
55,158,102,127,97,110
55,158,103,127,99,110
55,158,105,127,103,109
56,158,109,129,107,110
55,158,110,132,107,109
55,157,107,135,103,108
55,158,106,137,101,108
55,158,107,139,100,109
55,158,106,139,100,108
55,158,105,139,99,109
55,158,105,139,99,109
55,158,104,139,97,109
55,158,101,138,92,110
55,158,99,136,89,111
55,158,98,134,89,110
55,158,98,130,91,110
55,158,100,127,94,110
55,158,102,126,97,110
55,158,104,125,101,110
55,158,107,127,106,109
55,158,110,130,107,110
56,158,109,134,105,109
55,158,107,136,102,108
55,158,107,138,101,109
55,158,107,139,100,109
54,158,105,139,99,109
54,158,105,139,99,109
55,158,105,139,99,109
55,158,104,138,95,110
55,157,101,137,91,110
55,158,98,135,88,110
55,158,98,132,90,110
55,158,99,129,92,111
55,158,101,127,95,110
55,158,103,126,100,110
55,158,105,127,104,109
55,157,108,129,108,110
55,158,110,132,106,109
55,158,108,135,102,108
55,157,106,137,100,108
55,158,106,138,100,108
56,158,106,138,99,109
55,158,106,138,98,109
55,158,105,137,99,109
55,158,105,137,100,110
55,158,103,137,95,110
55,158,100,136,90,111
55,158,98,134,89,111
55,158,98,132,91,110
55,158,100,129,94,110
55,158,101,127,97,110
55,158,104,126,100,110
55,158,106,127,105,110
56,158,110,129,108,109
55,158,110,133,105,108
56,158,108,135,102,108
55,157,106,137,101,109
55,158,106,138,100,109
55,158,106,139,99,109
55,158,106,139,99,109
55,158,106,139,100,109
55,158,104,140,97,109
55,158,101,138,91,110
55,158,98,136,88,110
55,158,98,133,89,111
55,158,99,130,92,110
55,158,100,127,95,110
55,158,102,126,98,110
55,158,105,126,102,109
55,157,108,127,106,109
55,158,109,130,108,109
55,158,109,133,104,109
55,158,107,136,102,109
55,158,107,138,101,109
55,157,106,139,99,109
55,158,106,140,99,109
55,158,105,140,99,109
55,158,106,139,99,109
55,157,103,139,94,110
55,158,100,137,90,110
55,157,97,134,88,110
55,157,98,131,90,111
55,157,100,129,93,110
55,158,101,127,96,110
55,158,103,127,99,110
55,158,105,127,104,109
55,157,109,129,107,109
55,158,111,132,107,109
55,158,108,136,103,108
55,158,106,138,101,108
55,157,107,139,100,109
