a0,a1,a2,a3,a4,a5
55,134,104,136,113,118
55,134,104,137,114,117
55,134,104,137,118,114
55,134,104,136,122,109
55,134,104,136,124,106
55,135,104,135,127,105
55,134,104,135,127,102
55,134,104,133,125,97
55,134,103,131,122,93
55,134,103,130,121,93
55,134,104,129,120,99
55,134,104,130,119,108
55,134,104,132,119,115
55,134,104,133,120,122
55,134,104,133,118,121
55,134,104,135,115,117
55,134,104,136,113,117
55,134,104,137,114,116
55,134,104,137,117,117
55,134,104,137,119,113
55,134,104,137,122,108
55,134,104,136,125,106
55,134,104,134,127,103
55,134,104,132,127,100
55,134,104,130,124,94
55,134,103,130,122,94
55,134,104,130,120,97
55,134,104,131,118,102
55,134,104,132,119,111
55,134,104,133,120,120
55,134,104,134,120,123
55,134,103,135,115,118
55,134,104,135,115,116
55,134,104,136,114,116
55,135,104,137,115,116
55,134,104,137,118,117
55,134,104,138,120,111
55,134,104,137,122,104
55,134,103,135,125,104
55,134,103,133,128,102
55,133,104,131,126,99
55,134,104,130,123,94
55,133,103,130,121,96
55,133,103,131,119,98
55,134,104,132,119,105
55,134,104,133,119,113
55,133,104,134,120,122
55,133,104,134,119,122
55,133,104,135,115,116
55,133,103,135,113,114
55,134,104,136,114,118
55,134,104,138,116,118
55,134,104,138,118,113
55,134,103,138,121,107
55,133,103,136,122,104
55,133,104,133,126,105
55,133,104,131,128,102
55,133,104,129,127,96
55,134,104,129,124,95
55,134,103,131,120,96
55,134,104,133,118,101
55,133,104,135,118,109
55,133,104,136,119,118
55,134,104,135,119,122
55,134,104,135,115,119
55,133,103,133,112,114
55,133,103,132,113,114
55,133,104,132,117,117
55,133,104,134,119,117
55,133,104,136,121,112
55,133,104,137,123,107
55,133,104,137,126,106
55,133,105,136,129,104
55,133,104,135,127,99
55,133,104,133,124,93
55,133,103,131,121,95
55,133,104,130,119,98
55,133,104,131,118,104
55,133,104,131,119,113
55,133,104,133,121,121
55,134,104,135,120,120
55,133,103,136,116,116
55,133,103,136,114,113
55,133,104,137,112,116
55,133,104,137,114,117
55,133,104,137,118,116
55,134,104,136,121,109
55,133,104,136,123,105
55,133,103,133,127,106
55,133,103,131,128,105
55,132,104,129,127,97
55,133,104,130,123,93
55,133,103,131,119,96
55,134,103,132,118,100
55,134,104,133,120,107
55,134,104,134,120,115
55,134,104,135,119,123
55,134,104,134,118,120
55,134,103,135,115,114
55,134,103,135,113,114
55,134,104,135,114,117
55,134,104,136,116,116
55,134,104,136,119,113
55,134,104,137,123,108
55,134,104,136,126,106
55,134,104,135,129,104
55,134,104,134,127,99
55,134,104,132,124,95
54,134,103,131,122,96
55,133,104,131,120,98
55,134,104,131,119,103
55,134,104,132,118,111
55,134,104,133,119,119
55,134,104,133,119,121
55,134,104,134,117,119
55,134,104,135,114,113
55,134,104,136,113,115
55,134,104,137,115,117
55,134,104,137,117,115
55,134,104,137,120,110
55,133,104,136,123,107
55,133,104,135,126,106
55,134,104,133,129,103
55,134,104,132,127,99
55,134,103,131,124,94
55,134,103,131,121,96
55,134,104,131,119,99
55,134,104,132,118,105
55,133,104,134,118,113
55,134,104,134,120,122
55,133,104,135,119,121
55,134,104,135,116,116
55,133,103,136,114,115
55,133,104,136,112,116
55,133,104,135,114,115
55,133,104,134,120,113
55,133,104,134,123,110
55,133,104,135,125,108
55,133,104,135,128,107
55,134,104,134,128,101
55,134,103,133,124,95
55,133,103,132,121,94
55,134,103,131,120,97
55,133,104,131,118,101
55,133,104,132,119,110
55,134,104,132,119,118
55,133,104,134,120,123
55,134,105,134,118,118
55,133,104,135,114,114
55,133,103,136,112,115
55,134,103,136,114,116
55,134,104,136,117,115
55,134,104,137,120,111
55,134,104,136,124,107
55,134,104,135,126,107
55,133,104,134,127,104
55,135,104,133,127,100
55,134,104,132,124,94
55,134,103,131,121,95
55,134,104,131,119,98
56,133,104,132,118,104
55,133,104,132,118,112
55,134,104,133,120,121
55,134,105,134,121,121
55,133,104,135,116,118
55,133,104,136,112,114
55,134,104,136,113,115
55,133,104,136,114,116
55,133,104,137,117,115
55,134,104,136,121,109
55,134,104,135,124,106
55,134,104,133,128,106
55,133,105,132,128,102
55,134,104,131,127,98
55,134,104,131,122,95
55,134,104,132,120,97
55,134,104,132,118,99
55,134,104,133,119,107
55,133,104,133,119,116
55,134,104,134,120,123
55,133,105,135,118,120
55,133,104,135,116,115
55,133,103,136,113,114
55,133,104,137,114,115
55,133,103,137,116,114
55,133,104,136,119,112
55,133,104,136,123,109
55,134,104,135,126,108
55,134,105,134,127,105
55,134,104,133,126,99
55,134,104,131,124,95
55,134,103,130,121,96
55,134,103,130,120,96
