a0,a1,a2,a3,a4,a5
54,143,106,133,125,117
53,143,108,133,120,110
53,143,107,133,117,107
53,143,108,133,120,109
53,144,107,133,118,106
53,144,108,133,120,108
53,144,109,134,121,108
53,144,108,134,119,106
53,144,107,134,118,105
53,144,106,134,121,110
55,144,107,135,126,116
53,144,105,137,121,107
54,144,100,137,115,102
53,144,99,137,116,104
53,144,99,135,116,105
53,144,98,134,117,107
53,144,99,133,120,112
53,144,101,132,125,119
54,144,105,132,127,119
53,144,107,132,123,113
53,144,107,133,119,107
53,144,107,133,119,107
53,144,108,134,120,108
53,143,109,134,120,107
53,144,108,134,118,104
53,144,106,134,118,106
53,144,105,134,123,112
53,144,108,136,125,112
54,144,102,137,118,103
53,144,99,137,116,103
53,144,99,136,116,104
53,144,98,135,116,105
53,144,99,134,118,110
54,144,100,134,122,115
53,144,102,133,126,120
53,144,105,133,125,115
53,144,107,134,121,109
53,143,107,134,118,106
53,143,108,134,119,108
53,143,108,133,120,108
53,144,109,133,119,106
54,144,107,133,118,105
53,143,106,133,120,108
54,143,106,133,126,116
53,143,106,136,122,108
53,143,100,137,115,102
53,144,99,137,116,104
53,144,99,136,116,105
53,143,98,135,117,106
53,143,99,134,120,111
53,144,100,133,124,118
53,144,104,133,127,119
53,144,106,133,124,114
53,143,107,133,119,107
53,144,107,133,118,107
53,143,108,133,120,108
53,143,109,133,120,107
53,144,108,134,119,105
53,144,106,134,118,105
53,144,106,135,123,111
54,143,108,136,126,114
53,144,103,138,119,104
53,144,100,137,115,102
53,144,100,137,116,104
53,144,99,135,116,104
53,144,98,134,118,108
53,144,99,133,121,114
53,144,102,132,126,120
53,145,105,132,125,117
54,144,107,133,121,110
53,144,107,133,119,106
53,143,108,134,120,107
53,144,109,134,120,108
53,144,109,134,120,107
53,144,107,134,117,104
53,144,105,134,118,107
53,144,105,134,126,115
53,144,106,136,124,110
53,144,101,136,117,102
53,144,99,136,116,103
53,143,99,136,116,104
53,143,98,136,116,106
53,144,98,135,119,110
53,144,100,133,124,117
53,144,103,132,126,119
53,144,106,133,124,115
53,144,107,132,120,107
53,144,107,133,118,106
53,144,108,133,120,108
53,144,109,133,120,108
53,144,108,134,118,105
53,144,107,134,118,104
53,144,106,135,121,111
53,144,108,136,127,115
53,142,104,138,120,106
53,144,100,138,115,102
52,144,99,137,116,103
53,144,99,135,116,105
