a0,a1,a2,a3,a4,a5
55,136,99,137,116,100
54,136,100,136,118,104
55,136,101,135,119,108
55,136,105,134,137,101
55,138,102,135,120,110
56,137,106,133,121,116
55,137,108,133,123,122
55,137,112,131,120,120
54,137,114,130,116,116
55,138,113,130,113,112
55,138,112,130,116,112
55,137,112,131,118,109
55,137,110,132,119,103
55,137,107,134,121,102
55,137,107,135,126,108
55,138,109,138,129,112
55,138,110,137,125,103
55,137,104,138,117,98
55,137,101,137,117,101
55,137,101,137,118,102
54,138,101,136,118,106
55,137,103,135,120,112
55,138,106,134,122,118
55,138,110,133,123,123
55,138,114,132,118,120
55,138,114,131,114,113
55,138,111,131,114,111
55,138,111,131,118,111
55,138,112,132,120,107
55,138,110,132,120,102
55,138,107,134,123,105
55,138,108,135,127,110
55,137,112,136,130,108
54,138,107,138,121,99
55,138,101,138,117,96
55,138,101,137,118,101
55,138,101,136,118,103
55,138,102,135,119,108
55,138,105,134,119,114
55,138,108,131,122,120
55,137,112,129,123,121
55,137,114,130,119,117
55,138,114,130,115,114
55,138,113,131,116,112
55,137,112,132,117,110
55,137,111,134,119,105
55,137,108,135,120,101
55,138,106,135,123,105
55,138,108,136,130,113
55,138,111,134,128,104
55,138,104,135,119,96
54,138,100,136,117,99
55,138,102,136,118,103
55,138,102,136,118,106
55,138,103,136,120,112
55,138,106,135,121,116
55,138,109,134,123,122
55,137,113,131,119,119
55,138,114,131,115,114
55,137,113,130,113,111
55,138,112,129,117,110
55,138,112,130,119,108
55,137,111,131,120,102
55,137,108,133,122,103
55,138,108,136,127,112
56,138,111,138,132,111
55,137,107,140,123,99
54,137,100,139,115,95
55,138,100,138,117,101
55,137,102,136,118,103
55,137,102,134,119,108
54,137,104,133,120,115
55,137,106,132,123,119
55,138,108,131,123,120
55,137,112,128,116,116
55,137,114,129,113,112
55,137,115,129,116,112
55,137,116,130,118,111
55,137,116,132,119,107
55,137,113,134,120,103
55,137,109,136,124,106
55,137,108,137,130,111
55,137,109,138,131,104
55,138,101,139,120,95
55,137,97,138,116,98
55,137,98,136,117,102
55,137,100,135,117,105
55,137,102,134,119,112
55,137,105,133,120,117
55,138,108,132,122,121
55,137,111,132,120,119
55,138,113,131,115,115
55,138,114,131,112,109
55,138,114,130,117,110
55,138,116,131,120,112
55,138,116,132,121,105
55,138,112,134,122,101
55,137,109,135,126,107
55,137,109,135,130,111
54,139,109,138,123,103
55,138,100,137,117,96
55,138,98,137,118,100
55,137,98,136,119,103
55,138,100,135,119,107
55,138,102,134,120,112
55,137,104,133,122,117
55,138,107,132,122,122
55,138,111,131,118,119
55,138,114,130,113,114
55,137,114,130,114,111
55,138,116,130,117,110
55,138,115,132,118,107
55,137,114,132,119,102
55,137,110,134,124,104
55,138,109,135,129,110
55,137,111,137,131,109
55,138,105,139,122,100
55,138,99,139,116,96
55,138,98,139,116,101
55,137,98,137,116,103
55,138,100,135,118,111
56,137,104,133,121,115
55,137,107,132,124,120
55,137,109,132,121,121
55,138,112,131,116,116
55,137,114,131,112,112
55,138,115,131,115,111
55,137,115,131,118,109
55,137,114,132,119,105
55,137,112,133,121,103
55,138,109,134,126,107
55,137,109,134,131,111
55,137,109,136,129,105
55,138,101,137,118,97
54,138,99,138,117,100
55,138,100,138,117,103
54,138,99,137,117,105
55,138,101,135,120,111
55,137,104,134,121,116
55,137,108,132,122,121
54,137,111,131,119,119
55,137,114,130,116,114
55,138,114,129,115,112
55,138,116,130,117,112
55,137,116,131,118,109
55,137,108,133,118,102
55,137,93,133,121,101
