a0,a1,a2,a3,a4,a5
59,139,104,136,100,116
59,139,104,135,97,119
59,139,106,136,92,116
59,139,106,135,94,115
56,140,102,137,99,116
56,140,103,138,93,115
56,140,105,136,88,113
56,139,106,132,89,114
56,140,106,128,91,114
56,140,105,126,92,113
56,140,104,124,95,110
56,140,103,125,101,108
56,140,103,128,105,108
56,140,103,133,107,106
56,139,102,137,104,101
56,139,103,140,102,98
56,140,104,139,101,101
56,140,104,138,101,104
56,140,103,137,100,110
56,140,103,137,101,115
56,140,102,137,99,116
56,140,103,138,93,115
56,140,105,136,88,113
56,139,106,132,89,114
56,140,106,128,91,114
56,140,105,126,92,113
56,140,104,124,95,110
56,140,103,125,101,108
56,140,103,128,105,108
56,140,103,133,107,106
56,139,102,137,104,101
56,139,103,140,102,98
56,140,103,141,102,99
56,140,104,138,101,104
56,140,103,137,100,110
56,140,103,137,101,115
56,140,102,137,99,116
56,140,103,138,93,115
56,140,105,136,88,113
56,139,106,132,89,114
56,140,106,128,91,114
56,140,105,126,92,113
56,140,104,124,95,110
56,140,103,125,101,108
56,140,103,128,105,108
56,140,103,133,107,106
56,139,102,137,104,101
56,139,103,140,102,98
56,140,103,141,102,99
56,140,104,140,102,101
56,140,104,139,101,106
56,140,103,137,100,112
56,140,102,136,99,117
56,140,102,136,95,116
56,140,104,135,92,114
56,140,106,133,90,114
56,140,106,131,90,114
56,140,105,129,92,114
56,140,104,128,95,112
56,140,104,127,97,109
56,140,103,128,101,108
56,141,102,131,106,108
56,140,102,134,105,105
56,140,103,137,103,99
56,141,103,139,103,98
56,140,103,139,102,100
56,140,104,138,101,103
56,140,104,137,102,108
56,140,103,137,101,114
56,140,102,138,100,116
56,140,102,137,96,115
56,140,105,136,90,113
56,140,106,133,88,114
56,140,106,130,89,115
56,140,105,128,92,114
56,140,104,127,96,111
56,140,104,128,98,109
56,140,102,129,101,108
57,140,102,133,106,107
56,141,103,135,106,102
56,140,103,138,104,98
56,140,104,139,102,100
56,140,104,139,99,102
56,141,104,137,98,105
56,140,103,135,100,110
56,140,102,135,104,115
56,140,101,135,101,116
56,140,104,135,94,114
56,140,105,135,87,113
