a0,a1,a2,a3,a4,a5
54,139,103,132,118,106
55,139,104,131,118,109
54,139,104,131,120,112
55,139,104,132,121,114
54,139,104,133,117,113
54,139,104,134,115,110
54,139,104,136,113,110
55,139,104,137,115,111
55,139,104,138,119,111
55,139,104,138,121,110
55,139,104,137,123,108
55,139,104,136,125,109
54,140,105,134,127,108
55,139,104,133,127,106
54,139,103,132,121,103
55,139,103,131,117,103
55,139,103,129,118,104
55,139,104,129,119,108
54,139,104,130,119,111
55,139,104,132,120,114
54,139,104,133,120,114
54,139,103,135,117,111
55,139,104,137,115,110
55,139,104,138,114,111
55,139,104,138,115,111
55,139,103,138,117,110
55,139,104,136,120,109
55,139,104,134,125,109
55,139,104,133,127,109
55,139,104,132,127,106
55,139,104,131,125,103
55,139,103,130,122,103
55,139,104,131,120,104
54,139,104,132,119,106
55,139,104,133,118,108
54,138,104,134,119,112
55,139,104,134,119,114
55,139,104,134,118,112
55,139,104,134,116,110
54,139,104,135,114,110
55,139,104,135,116,111
55,139,104,137,117,111
55,139,104,137,120,110
55,139,104,137,122,108
55,139,104,136,125,109
54,139,104,135,127,108
55,137,104,133,126,106
55,139,103,131,122,103
55,139,103,130,121,103
54,139,103,129,120,105
55,139,104,131,120,107
55,139,104,132,120,110
55,139,104,133,120,113
55,139,104,134,123,113
54,139,105,135,123,112
55,139,104,135,119,110
55,139,104,136,115,111
54,139,104,136,113,111
54,139,104,137,115,111
55,139,104,137,117,109
54,139,104,136,121,108
55,139,104,135,124,109
55,139,104,135,126,108
55,139,104,133,125,105
55,140,103,131,123,103
54,139,103,130,121,104
54,139,104,130,120,105
55,139,104,132,119,109
54,139,105,133,118,111
55,139,104,134,120,114
55,139,104,135,117,114
55,139,104,135,115,111
54,139,104,136,114,110
55,139,103,136,111,109
55,139,103,135,113,110
54,139,104,133,118,111
55,139,104,133,123,110
55,139,104,133,127,109
54,139,104,133,129,109
55,139,104,133,127,106
55,139,104,133,124,103
55,139,103,133,122,104
54,139,103,133,120,104
55,139,104,133,119,106
55,139,104,133,120,109
55,139,104,133,120,113
55,139,104,134,119,114
54,139,104,134,115,112
55,139,103,134,113,110
55,139,103,135,113,110
55,139,104,135,116,111
54,139,104,136,118,111
55,139,104,136,121,110
55,139,104,136,123,108
55,139,104,135,125,109
55,139,104,134,128,108
54,139,104,133,126,105
55,139,103,133,122,103
55,139,103,132,120,103
55,139,103,132,119,105
55,139,104,132,119,107
54,139,104,133,119,110
55,139,104,133,120,114
55,139,104,133,119,113
54,139,103,134,117,111
55,139,104,135,113,110
55,139,104,135,114,111
55,139,104,136,118,112
55,139,104,137,120,111
54,139,104,137,120,109
55,139,104,136,122,109
55,139,104,135,126,110
54,139,105,133,127,107
55,139,104,132,125,103
55,139,103,131,122,103
54,138,104,131,121,104
55,139,104,132,119,106
54,139,104,133,119,108
55,139,104,134,120,112
55,139,104,133,120,114
54,139,104,132,117,113
55,139,104,132,115,110
55,139,104,133,115,110
55,139,104,135,116,112
55,139,104,137,117,112
55,139,104,138,120,109
55,139,104,138,122,108
55,139,104,137,124,108
55,139,104,136,128,108
54,139,105,133,127,106
55,139,103,131,123,102
55,139,103,130,121,103
55,139,103,130,119,104
54,139,104,131,119,107
55,139,104,132,118,110
55,139,104,133,119,113
54,139,104,134,119,113
55,139,104,135,117,112
55,139,104,136,114,110
55,139,104,137,114,111
55,139,104,138,116,111
55,139,104,138,118,110
55,139,104,137,120,108
55,139,104,135,122,108
55,139,104,133,126,108
54,139,104,132,128,108
55,139,104,131,126,104
55,139,103,130,122,103
55,139,104,131,120,103
55,140,104,132,119,105
55,139,104,133,119,108
55,139,104,134,119,111
55,139,104,134,120,114
55,139,104,135,118,113
54,140,103,134,115,111
55,139,103,134,112,111
55,139,104,134,114,112
55,139,104,135,117,111
55,140,104,136,120,110
55,139,104,137,122,108
55,139,104,137,125,108
55,139,104,135,127,109
55,139,104,134,126,107
55,140,104,132,122,103
55,140,103,131,121,103
55,139,103,130,120,104
55,139,104,130,119,107
55,139,104,132,119,110
55,139,104,133,119,113
55,140,104,134,120,113
55,140,104,135,117,112
55,140,104,135,114,110
55,139,104,136,114,111
55,139,104,136,115,111
55,139,104,136,118,111
55,139,104,136,121,109
55,139,104,136,123,108
55,139,104,135,126,108
54,139,105,134,127,108
56,139,104,133,126,105
54,139,103,132,122,102
54,139,103,131,120,103
55,139,104,131,119,105
