a0,a1,a2,a3,a4,a5
54,141,105,131,124,105
55,141,104,130,121,105
55,141,104,131,120,106
55,141,103,132,119,109
55,140,104,133,119,112
55,141,104,134,120,113
55,140,104,134,116,111
55,141,104,134,113,109
55,141,102,135,110,108
55,141,102,135,113,110
54,141,103,136,116,111
55,141,103,137,119,109
55,141,103,138,123,108
55,141,104,137,127,110
55,141,105,135,131,109
55,141,106,133,130,108
55,141,105,132,125,105
55,141,104,131,122,105
55,141,104,130,120,105
55,140,103,131,119,107
55,140,104,131,119,110
55,141,104,133,119,112
55,141,104,134,119,112
55,140,105,134,115,111
55,141,103,135,112,108
55,141,102,136,111,110
55,141,102,137,113,111
55,141,103,137,117,110
55,141,103,138,121,109
55,141,104,137,124,108
55,141,104,136,129,110
55,140,106,134,131,108
55,141,106,133,128,107
55,141,105,132,124,105
55,141,104,132,120,105
55,141,104,131,118,107
55,141,103,131,117,109
55,141,103,131,118,110
55,141,104,131,118,113
55,141,105,131,118,111
55,141,104,132,116,110
55,141,103,134,113,110
55,141,102,136,113,110
55,141,102,139,115,110
55,141,102,140,118,109
55,141,103,139,122,108
55,141,104,137,126,109
55,141,105,135,129,109
55,141,105,133,130,108
55,141,106,130,126,105
55,141,105,129,123,105
55,141,104,130,121,105
55,141,104,131,119,107
55,141,103,132,118,111
55,141,104,133,119,112
55,141,105,134,120,112
54,141,105,134,116,110
55,141,104,135,112,108
55,141,102,136,110,109
55,141,102,136,113,110
55,141,102,137,117,110
55,141,103,137,121,109
55,141,103,136,124,108
55,141,104,135,128,110
55,141,106,134,130,109
55,141,106,133,129,107
55,141,105,132,125,105
55,141,104,131,121,105
54,141,104,132,118,106
55,141,103,132,118,108
55,141,103,133,118,111
55,141,104,134,120,113
55,141,104,134,117,111
55,141,104,134,115,109
55,141,103,134,112,108
55,141,102,135,112,110
55,141,102,136,115,110
55,141,102,136,117,109
55,141,103,136,121,109
55,141,104,135,125,110
55,141,105,134,129,111
55,141,107,133,130,109
55,141,106,132,128,105
54,141,104,132,124,104
55,141,104,131,120,105
55,141,103,131,118,106
55,141,103,131,119,108
55,141,104,131,119,112
55,141,105,133,120,113
54,141,105,134,116,111
55,141,104,135,113,109
55,141,102,136,110,109
55,141,102,137,112,110
55,141,102,138,116,111
55,141,103,138,119,110
55,141,103,137,123,108
55,141,104,136,127,109
55,140,105,135,130,110
55,141,107,133,129,107
55,141,105,132,124,105
55,141,104,131,121,105
